Compound_name,Fragment,Insp_frag_found,dockedSMILES,fragSMILES,SuCOS_score,Avg_SuCOS_score
KRI-LIF-2e3-1,x0107,1,OCc1ccncc1-c1cc(CCc2cn[nH]c2)ccn1,CC(O)NC1CNCCC1C,0.5872722247053742,0.1149239067441343
MUS-SCH-c2f-4,x0107,1,OCc1ccncc1-c1cc(CCc2cn[nH]c2)ccn1,CC(O)NC1CNCCC1C,0.5872722247053742,0.1149239067441343
GAB-REV-4a4-20,x0104,1,CC(=O)NCCc1c[nH]c2c(NCc3ccc4[nH]cnc4c3)cc(F)cc12,CC(O)NCCC1CNC2CCC(F)CC12,0.7490024565357389,0.1486549356463795
GAB-REV-4a4-13,x0104,1,CC(=O)NCCc1c[nH]c2c(NCc3ccccc3C#N)cc(F)cc12,CC(O)NCCC1CNC2CCC(F)CC12,0.750965304667336,0.141216765336358
CHR-SOS-54d-3,x0748,0,O=C(CC1(C#CC2CCC[NH2+]C2)CCCCC1)Nc1cccnc1,CC(O)NC(C)C1CCCC(Cl)C1,0.4778083992964426,0.1500833239965313
WAR-XCH-e55-10,x0748,0,O=C(CC1(C#CC2CCC[NH2+]C2)CCCCC1)Nc1cccnc1,CC(O)NC(C)C1CCCC(Cl)C1,0.4778083992964426,0.1500833239965313
MUS-SCH-c2f-2,x0107,1,O=C([O-])c1c[nH]c(Cl)c1CCc1ccnc(-c2cnccc2CO)c1,CC(O)NC1CNCCC1C,0.5868430002936729,0.12928132519695631
NIR-THE-0d6-3,x0104,1,CC(=O)NCCc1c[nH]c2c(NC3CCN(C(=O)CCl)CC3)cc(F)cc12,CC(O)NCCC1CNC2CCC(F)CC12,0.6473633098593359,0.15706333220787527
MIH-UNI-339-10,x0678,1,Cc1ccncc1NC1CC(c2ccccc2)CC([NH3+])O1,OC(CC1CCCCC1)NC1CCCNC1,0.5476405801219857,0.09866034023916301
KIM-UNI-60f-9,x0107,1,Cc1ccncc1-n1c2c(ccc1=O)N(CCC(N)=[NH2+])CCC2,CC(O)NC1CNCCC1C,0.5539849573643507,0.1525645484009439
CHR-SOS-f73-1,x0678,1,O=C(CC1(c2ccccc2)CCCCC1)Nc1cccnc1,OC(CC1CCCCC1)NC1CCCNC1,0.4857237154868246,0.11481832223739839
MUS-SCH-c2f-3,x0107,1,OCc1ccncc1-c1cc(CCc2cn[nH]c2Cl)ccn1,CC(O)NC1CNCCC1C,0.5942275328299851,0.11763207204198302
TRY-UNI-714-13,x0678,1,Cc1c(N)cncc1NC(=O)C(C)C1CCCCC1,OC(CC1CCCCC1)NC1CCCNC1,0.5560282108508491,0.09380278911669704
CHR-SOS-b30-5,x1420,0,O=C(CC1(C#Cc2ccnnc2)CCCCC1)Nc1cccnc1,CC(O)N1CC2CCCCC2C(C2CCCCC2)C1,0.44276465744274374,0.15798737598620524
CHR-SOS-e96-1,x0678,1,NS(=O)(=O)c1cccc(C2(CC(=O)Nc3cccnc3)CCCCC2)c1,OC(CC1CCCCC1)NC1CCCNC1,0.5265871472036334,0.1642802770852186
DAR-DIA-033-15,x0107,0,[NH3+]CCc1ccncc1CC(=O)Nc1ccccc1,CC(O)NC1CNCCC1C,0.570733581611642,0.08847031188120585
ADA-UNI-f8e-5,x0678,1,C[NH2+]CCC(C(=O)Nc1cccnc1)c1ccccc1,OC(CC1CCCCC1)NC1CCCNC1,0.45833839346530675,0.08281743977341097
MAK-UNK-9e4-9,x0678,0,Fc1cc2c(=S)n(-c3cccnc3)c(=S)n(-c3ccccc3)c2cc1Cl,OC(CC1CCCCC1)NC1CCCNC1,0.4462775973080808,0.1678239751013614
TRY-UNI-714-14,x0678,1,Cc1c(N)cncc1NC(=O)C(C)c1ccccc1,OC(CC1CCCCC1)NC1CCCNC1,0.5132150529026499,0.11527991773514865
MUS-SCH-c2f-1,x0107,1,O=C([O-])c1n[nH]c(Cl)c1CCc1ccnc(-c2cnccc2CO)c1,CC(O)NC1CNCCC1C,0.5540375679333848,0.13546208430108286
MAK-UNK-9e4-3,x1392,0,O=c1c(-c2ccccc2)c2cc(Cl)c(F)cc2c([O-])n1-c1cccnc1,CC(O)N1CC2CCCCC2C(C2CCCCC2)C1,0.5663953299262374,0.18456184260254793
CHR-SOS-f73-3,x0678,1,Cc1ncc(C2(CC(=O)Nc3cccnc3)CCCCC2)s1,OC(CC1CCCCC1)NC1CCCNC1,0.49347331139060163,0.11814337959793693
CHR-SOS-709-16,x0678,1,O=C(Nc1cccnc1)c1cc(Cl)ccc1Oc1ccccc1,OC(CC1CCCCC1)NC1CCCNC1,0.5253969833691995,0.11529588997817607
TRY-UNI-714-16,x0678,1,Cc1ccncc1NC(=O)C(C)C1CCCCC1,OC(CC1CCCCC1)NC1CCCNC1,0.5337602062544314,0.0920852128120311
MED-UNK-e6e-5,x0678,1,O=C(CC1CCCCC1O)Nc1cccnc1,OC(CC1CCCCC1)NC1CCCNC1,0.5046521089450073,0.07945796179070805
CHR-SOS-b30-1,x0678,1,O=C(CC1(C#Cc2ccccn2)CCCCC1)Nc1cccnc1,OC(CC1CCCCC1)NC1CCCNC1,0.529293502560473,0.1436416317194229
MIH-UNI-339-13,x0748,0,NC(=O)CC1Cc2ccccc2CC1Nc1cccnc1,CC(O)NC(C)C1CCCC(Cl)C1,0.42488293011699646,0.1178312306349509
SWA-SYN-40d-4,x0107,0,O=c1[nH]cccc1CNc1nc2ccccc2[nH]1,CC(O)NC1CNCCC1C,0.42938940271629544,0.06761765491011282
